Class_Style_Color_Size	AEO_DC_From_LOC	AEO_DC_To_LOC	Allocate_Date	Ship_Date	Arrive_Date	BULK_OH_Class_Style_Color_Size_DC	BULK_OH_Class_Style_Color_Size_Alloc	Class_Style_Color_Size		QTY	0	0	Alloc	1	N		DEPLOYMENT	0	Manual Import	0000000000	FloorSet	Current_Time_Stamp
"118_5312_896_3834"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_118_5312_896_3834_DC2959"	"BULK_OH_118_5312_896_3834_DC2959_ALC16723"	"118_5312_896_3834"	""	"5"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.20.55"
"751_2640_73_1616"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_751_2640_73_1616_DC2959"	"BULK_OH_751_2640_73_1616_DC2959_ALC16723"	"751_2640_73_1616"	""	"5"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.20.56"
"2696_3084_27_2000"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_2696_3084_27_2000_DC2959"	"BULK_OH_2696_3084_27_2000_DC2959_ALC16723"	"2696_3084_27_2000"	""	"31"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.20.56"
"2698_3081_73_2000"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_2698_3081_73_2000_DC2959"	"BULK_OH_2698_3081_73_2000_DC2959_ALC16723"	"2698_3081_73_2000"	""	"35"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.20.56"
"2698_3081_73_3000"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_2698_3081_73_3000_DC2959"	"BULK_OH_2698_3081_73_3000_DC2959_ALC16723"	"2698_3081_73_3000"	""	"44"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.20.57"
"2698_3081_73_6000"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_2698_3081_73_6000_DC2959"	"BULK_OH_2698_3081_73_6000_DC2959_ALC16723"	"2698_3081_73_6000"	""	"14"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.20.57"
"491_5089_215_1612"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_491_5089_215_1612_DC2959"	"BULK_OH_491_5089_215_1612_DC2959_ALC16723"	"491_5089_215_1612"	""	"142"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.20.57"
"1436_2762_524_8008"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_1436_2762_524_8008_DC2959"	"BULK_OH_1436_2762_524_8008_DC2959_ALC16723"	"1436_2762_524_8008"	""	"76"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.20.57"
"3439_2676_38_9101"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_3439_2676_38_9101_DC2959"	"BULK_OH_3439_2676_38_9101_DC2959_ALC16723"	"3439_2676_38_9101"	""	"12"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.20.58"
"3439_2676_38_9102"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_3439_2676_38_9102_DC2959"	"BULK_OH_3439_2676_38_9102_DC2959_ALC16723"	"3439_2676_38_9102"	""	"10"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.20.58"
