"FROM WAREHOUSE","TO WAREHOUSE","DEPT","CLASS","STYLE","COLOR","SIZE","QTY","Current_Time_Stamp"
2959,6900,43,436,3789,583,9008,6,"2023-11-20.20.26.18"
2959,6900,34,1340,9668,600,3000,5,"2023-11-20.20.26.18"
2959,6900,43,3435,3876,136,7004,5,"2023-11-20.20.26.18"
2959,6900,43,3435,3876,136,7006,5,"2023-11-20.20.26.18"
2959,6900,43,3435,3876,136,7008,5,"2023-11-20.20.26.18"
2959,6900,43,3435,3784,841,8002,112,"2023-11-20.20.26.18"
2959,6900,43,3435,3784,841,8004,142,"2023-11-20.20.26.18"
2959,6900,43,3435,3784,841,8012,55,"2023-11-20.20.26.18"
2959,6900,43,3435,3784,841,8014,52,"2023-11-20.20.26.18"
2959,6900,43,3435,3784,841,8016,11,"2023-11-20.20.26.18"
2959,6900,43,3435,3784,841,8018,9,"2023-11-20.20.26.18"
2959,6900,43,3435,3784,841,8101,52,"2023-11-20.20.26.18"
2959,6900,43,3435,3784,841,8102,52,"2023-11-20.20.26.18"
2959,6900,43,3435,3784,841,9002,10,"2023-11-20.20.26.18"
2959,6900,43,3435,3784,841,9004,13,"2023-11-20.20.26.18"
2959,6900,43,3435,3784,841,9006,12,"2023-11-20.20.26.18"
2959,6900,43,3435,3784,841,9008,11,"2023-11-20.20.26.18"
2959,6900,43,3435,3784,841,9010,8,"2023-11-20.20.26.18"
2959,6900,43,3435,3784,841,9012,6,"2023-11-20.20.26.18"
2959,6900,43,3435,3784,841,9014,5,"2023-11-20.20.26.18"
2959,6900,43,3435,3784,841,9101,8,"2023-11-20.20.26.18"
2959,6900,43,3435,3784,841,9102,5,"2023-11-20.20.26.18"
2959,6900,17,1162,2032,20,1000,6,"2023-11-20.20.26.18"
2959,6900,17,1162,2032,20,6000,5,"2023-11-20.20.26.18"
2959,6900,17,1162,2032,400,1000,7,"2023-11-20.20.26.18"
2959,6900,17,1162,2032,400,6000,6,"2023-11-20.20.26.18"
2959,6900,17,1162,2032,615,1000,6,"2023-11-20.20.26.18"
2959,6900,17,1162,2032,615,6000,5,"2023-11-20.20.26.18"
2959,6900,17,1164,2075,100,4000,53,"2023-11-20.20.26.18"
2959,6900,17,1164,2075,100,5000,52,"2023-11-20.20.26.18"
2959,6900,17,1164,2075,100,6000,14,"2023-11-20.20.26.18"
2959,6900,34,2534,9719,400,3000,6,"2023-11-20.20.26.18"
2959,6900,15,153,5729,615,6000,5,"2023-11-20.20.26.18"
2959,6900,78,441,2469,158,2000,7,"2023-11-20.20.26.18"
2959,6900,78,441,2469,158,3000,7,"2023-11-20.20.26.18"
2959,6900,78,441,2469,158,4000,5,"2023-11-20.20.26.18"
2959,6900,78,5494,2734,58,4000,7,"2023-11-20.20.26.18"
2959,6900,78,5494,2734,58,5000,5,"2023-11-20.20.26.18"
2959,6900,78,5494,2734,158,3000,10,"2023-11-20.20.26.18"
2959,6900,78,5494,2734,158,4000,7,"2023-11-20.20.26.18"
2959,6900,78,5494,2731,123,3000,7,"2023-11-20.20.26.18"
2959,6900,78,5495,2539,125,6000,6,"2023-11-20.20.26.18"
2959,6900,75,752,3922,73,5000,6,"2023-11-20.20.26.18"
2959,6900,75,751,3716,368,1614,5,"2023-11-20.20.26.18"
2959,6900,75,752,3724,561,4000,5,"2023-11-20.20.26.18"
2959,6900,75,1753,3533,173,2000,5,"2023-11-20.20.26.18"
2959,6900,75,1753,3731,247,3000,5,"2023-11-20.20.26.18"
2959,6900,17,1164,2076,613,5000,66,"2023-11-20.20.26.18"
2959,6900,17,1164,2076,1,7000,6,"2023-11-20.20.26.18"
2959,6900,75,753,3453,324,2000,8,"2023-11-20.20.26.18"
2959,6900,75,753,3453,324,3000,42,"2023-11-20.20.26.18"
2959,6900,75,753,3453,324,4000,14,"2023-11-20.20.26.18"
2959,6900,75,1753,3693,631,5000,6,"2023-11-20.20.26.18"
2959,6900,75,753,3842,889,3000,31,"2023-11-20.20.26.18"
2959,6900,75,1754,3370,607,2000,15,"2023-11-20.20.26.18"
2959,6900,75,1754,3370,607,3000,17,"2023-11-20.20.26.18"
2959,6900,75,1754,3370,607,4000,15,"2023-11-20.20.26.18"
2959,6900,75,751,3854,73,1613,5,"2023-11-20.20.26.18"
2959,6900,75,751,3854,73,1623,47,"2023-11-20.20.26.18"
2959,6900,75,1754,3811,100,3000,59,"2023-11-20.20.26.18"
2959,6900,75,1754,3811,100,4000,38,"2023-11-20.20.26.18"
2959,6900,75,752,3565,73,1000,8,"2023-11-20.20.26.18"
2959,6900,75,752,3565,73,2000,30,"2023-11-20.20.26.18"
2959,6900,75,752,3565,73,3000,35,"2023-11-20.20.26.18"
2959,6900,75,752,3565,73,4000,26,"2023-11-20.20.26.18"
2959,6900,75,752,3565,73,5000,11,"2023-11-20.20.26.18"
2959,6900,34,344,9659,106,3000,44,"2023-11-20.20.26.18"
2959,6900,37,3375,8008,400,2000,9,"2023-11-20.20.26.18"
2959,6900,37,3375,8008,400,3000,13,"2023-11-20.20.26.18"
2959,6900,37,3375,8008,400,4000,11,"2023-11-20.20.26.18"
2959,6900,37,3375,8008,600,3000,10,"2023-11-20.20.26.18"
2959,6900,37,3375,8129,199,3000,9,"2023-11-20.20.26.18"
2959,6900,37,3375,8129,199,5000,5,"2023-11-20.20.26.18"
2959,6900,37,3375,8129,200,3000,9,"2023-11-20.20.26.18"
2959,6900,37,3375,8129,200,5000,5,"2023-11-20.20.26.18"
2959,6900,37,3375,8133,73,5000,6,"2023-11-20.20.26.18"
2959,6900,12,1523,4663,20,3632,6,"2023-11-20.20.26.18"
2959,6900,36,3171,5230,1,4000,5,"2023-11-20.20.26.18"
2959,6900,67,671,7915,401,1000,12,"2023-11-20.20.26.18"
2959,6900,67,671,7915,401,2000,22,"2023-11-20.20.26.18"
2959,6900,67,671,7915,401,3000,27,"2023-11-20.20.26.18"
2959,6900,67,671,7915,401,4000,14,"2023-11-20.20.26.18"
2959,6900,67,671,7915,401,5000,8,"2023-11-20.20.26.18"
2959,6900,67,671,7915,354,1000,20,"2023-11-20.20.26.18"
2959,6900,67,671,7915,354,2000,37,"2023-11-20.20.26.18"
2959,6900,67,671,7915,354,3000,45,"2023-11-20.20.26.18"
2959,6900,67,671,7915,354,4000,24,"2023-11-20.20.26.18"
2959,6900,67,671,7915,354,5000,13,"2023-11-20.20.26.18"
2959,6900,67,671,7915,287,2000,8,"2023-11-20.20.26.18"
2959,6900,67,671,7915,287,3000,10,"2023-11-20.20.26.18"
2959,6900,67,671,7915,287,4000,6,"2023-11-20.20.26.18"
2959,6900,67,671,7915,125,2000,10,"2023-11-20.20.26.18"
2959,6900,67,671,7915,125,3000,13,"2023-11-20.20.26.18"
2959,6900,67,671,7915,12,1000,26,"2023-11-20.20.26.18"
2959,6900,67,671,7915,12,2000,48,"2023-11-20.20.26.18"
2959,6900,67,671,7915,12,3000,58,"2023-11-20.20.26.18"
2959,6900,67,671,7915,12,4000,31,"2023-11-20.20.26.18"
2959,6900,67,671,7915,12,5000,16,"2023-11-20.20.26.18"
2959,6900,67,671,7915,12,6000,6,"2023-11-20.20.26.18"
2959,6900,67,671,7915,5,2000,44,"2023-11-20.20.26.18"
2959,6900,67,671,7915,5,3000,54,"2023-11-20.20.26.18"
2959,6900,67,671,7915,5,4000,28,"2023-11-20.20.26.18"
2959,6900,67,671,7915,5,5000,15,"2023-11-20.20.26.18"
2959,6900,35,355,4135,193,1000,105,"2023-11-20.20.26.18"
2959,6900,35,355,4135,193,3000,178,"2023-11-20.20.26.18"
2959,6900,35,355,4135,193,4000,119,"2023-11-20.20.26.18"
2959,6900,35,355,4135,193,5000,88,"2023-11-20.20.26.18"
2959,6900,35,355,4135,300,1000,124,"2023-11-20.20.26.18"
2959,6900,35,355,4135,300,2000,216,"2023-11-20.20.26.18"
2959,6900,35,355,4135,300,3000,294,"2023-11-20.20.26.18"
2959,6900,35,355,4135,300,4000,176,"2023-11-20.20.26.18"
2959,6900,35,355,4135,300,5000,116,"2023-11-20.20.26.18"
2959,6900,35,355,4135,400,1000,144,"2023-11-20.20.26.18"
2959,6900,35,355,4135,400,2000,301,"2023-11-20.20.26.18"
2959,6900,35,355,4135,400,3000,332,"2023-11-20.20.26.18"
2959,6900,35,355,4135,400,4000,204,"2023-11-20.20.26.18"
2959,6900,35,355,4135,400,5000,158,"2023-11-20.20.26.18"
2959,6900,35,355,4135,615,1000,75,"2023-11-20.20.26.18"
2959,6900,35,355,4135,615,2000,130,"2023-11-20.20.26.18"
2959,6900,35,355,4135,615,5000,70,"2023-11-20.20.26.18"
2959,6900,37,303,8231,400,4400,6,"2023-11-20.20.26.18"
2959,6900,37,303,8232,100,4000,5,"2023-11-20.20.26.18"
2959,6900,75,1753,3775,717,1000,28,"2023-11-20.20.26.18"
2959,6900,75,1753,3775,717,2000,86,"2023-11-20.20.26.18"
2959,6900,75,1753,3775,717,3000,104,"2023-11-20.20.26.18"
2959,6900,75,1753,3775,717,4000,47,"2023-11-20.20.26.18"
2959,6900,75,1753,3775,717,5000,12,"2023-11-20.20.26.18"
2959,6900,65,745,2304,73,1000,32,"2023-11-20.20.26.18"
2959,6900,65,745,2304,73,3000,33,"2023-11-20.20.26.18"
2959,6900,65,745,2304,73,5000,14,"2023-11-20.20.26.18"
2959,6900,65,745,2304,125,1000,32,"2023-11-20.20.26.18"
2959,6900,65,745,2304,125,3000,41,"2023-11-20.20.26.18"
2959,6900,65,745,2304,125,4000,23,"2023-11-20.20.26.18"
2959,6900,65,745,2304,125,5000,13,"2023-11-20.20.26.18"
2959,6900,65,745,2304,267,5000,10,"2023-11-20.20.26.18"
2959,6900,17,189,2119,400,3000,5,"2023-11-20.20.26.18"
2959,6900,34,1340,9698,207,2000,25,"2023-11-20.20.26.18"
2959,6900,34,1340,9698,207,3000,24,"2023-11-20.20.26.18"
2959,6900,34,1340,9698,207,4000,15,"2023-11-20.20.26.18"
2959,6900,34,1340,9674,309,2000,18,"2023-11-20.20.26.18"
2959,6900,33,3331,4333,300,5000,6,"2023-11-20.20.26.18"
2959,6900,37,1095,8028,759,4000,16,"2023-11-20.20.26.18"
2959,6900,37,1095,8028,759,5000,12,"2023-11-20.20.26.18"
2959,6900,37,1095,8030,400,5000,11,"2023-11-20.20.26.18"
2959,6900,75,1756,4007,835,1000,17,"2023-11-20.20.26.18"
2959,6900,75,1756,4007,835,2000,63,"2023-11-20.20.26.18"
2959,6900,75,1756,4007,835,3000,92,"2023-11-20.20.26.18"
2959,6900,75,1756,4007,835,4000,28,"2023-11-20.20.26.18"
2959,6900,75,1756,4007,835,5000,19,"2023-11-20.20.26.18"
2959,6900,75,1756,4007,372,1000,6,"2023-11-20.20.26.18"
2959,6900,75,1756,4007,372,2000,19,"2023-11-20.20.26.18"
2959,6900,75,1756,4007,372,3000,83,"2023-11-20.20.26.18"
2959,6900,75,1756,4007,372,4000,7,"2023-11-20.20.26.18"
2959,6900,75,1756,4007,372,5000,19,"2023-11-20.20.26.18"
2959,6900,37,531,8056,12,5000,6,"2023-11-20.20.26.18"
2959,6900,37,531,8055,610,4000,6,"2023-11-20.20.26.18"
2959,6900,37,531,8038,300,5000,6,"2023-11-20.20.26.18"
2959,6900,37,531,8038,717,4000,6,"2023-11-20.20.26.18"
2959,6900,37,531,8272,100,5000,6,"2023-11-20.20.26.18"
2959,6900,37,1095,8043,401,1400,29,"2023-11-20.20.26.18"
2959,6900,37,1095,8043,401,3000,29,"2023-11-20.20.26.18"
2959,6900,37,1095,8043,401,4400,23,"2023-11-20.20.26.18"
2959,6900,37,1095,8043,401,6000,6,"2023-11-20.20.26.18"
2959,6900,37,1095,8075,823,1400,24,"2023-11-20.20.26.18"
2959,6900,37,1095,8075,823,3000,23,"2023-11-20.20.26.18"
2959,6900,37,1095,8075,823,4400,19,"2023-11-20.20.26.18"
2959,6900,37,1095,8075,823,6000,5,"2023-11-20.20.26.18"
2959,6900,37,531,8271,200,1000,5,"2023-11-20.20.26.18"
2959,6900,37,531,8271,200,2000,7,"2023-11-20.20.26.18"
2959,6900,37,531,8271,200,3000,7,"2023-11-20.20.26.18"
2959,6900,37,531,8271,401,1000,6,"2023-11-20.20.26.18"
2959,6900,37,531,8271,401,2000,8,"2023-11-20.20.26.18"
2959,6900,37,531,8271,401,3000,8,"2023-11-20.20.26.18"
2959,6900,37,531,8271,401,5000,5,"2023-11-20.20.26.18"
2959,6900,37,531,8271,800,2000,7,"2023-11-20.20.26.18"
2959,6900,37,531,8271,800,3000,6,"2023-11-20.20.26.18"
2959,6900,37,531,8271,800,4000,6,"2023-11-20.20.26.18"
2959,6900,37,1095,8050,100,1000,6,"2023-11-20.20.26.18"
2959,6900,37,1095,8050,100,2000,15,"2023-11-20.20.26.18"
2959,6900,37,1095,8050,100,3000,19,"2023-11-20.20.26.18"
2959,6900,37,1095,8050,100,4000,13,"2023-11-20.20.26.18"
2959,6900,37,1095,8050,100,5000,8,"2023-11-20.20.26.18"
