"FROM WAREHOUSE","TO WAREHOUSE","DEPT","CLASS","STYLE","COLOR","SIZE","QTY","Current_Time_Stamp"
2959,6900,150,2698,1101,73,3000,28,"2023-11-20.20.26.18"
2959,6900,150,2698,1101,73,4000,19,"2023-11-20.20.26.18"
2959,6900,150,2696,1078,890,4000,5,"2023-11-20.20.26.18"
2959,6900,78,5495,2418,399,1000,5,"2023-11-20.20.26.18"
2959,6900,78,5495,2418,399,2000,7,"2023-11-20.20.26.18"
2959,6900,78,5495,2418,399,3000,7,"2023-11-20.20.26.18"
2959,6900,130,2162,2544,40,5000,8,"2023-11-20.20.26.18"
2959,6900,78,441,2604,73,4000,5,"2023-11-20.20.26.18"
2959,6900,78,441,2607,437,1000,6,"2023-11-20.20.26.18"
2959,6900,75,1754,3558,73,2000,5,"2023-11-20.20.26.18"
2959,6900,11,114,6115,959,3432,18,"2023-11-20.20.26.18"
2959,6900,130,2162,2504,73,2000,5,"2023-11-20.20.26.18"
2959,6900,150,2698,1151,73,3000,16,"2023-11-20.20.26.18"
2959,6900,66,6495,1149,900,6000,12,"2023-11-20.20.26.18"
2959,6900,75,753,3669,73,2000,5,"2023-11-20.20.26.18"
2959,6900,66,661,1089,125,3000,9,"2023-11-20.20.26.18"
2959,6900,23,236,1673,73,4000,14,"2023-11-20.20.26.18"
2959,6900,65,743,2689,12,4000,6,"2023-11-20.20.26.18"
2959,6900,23,236,1438,613,4000,19,"2023-11-20.20.26.18"
2959,6900,67,701,7817,123,1613,5,"2023-11-20.20.26.18"
2959,6900,67,701,7817,5,1602,5,"2023-11-20.20.26.18"
2959,6900,43,3437,3693,167,8014,24,"2023-11-20.20.26.18"
2959,6900,23,235,1844,615,3000,66,"2023-11-20.20.26.18"
2959,6900,23,236,3491,900,2000,5,"2023-11-20.20.26.18"
2959,6900,23,3234,3464,900,1000,5,"2023-11-20.20.26.18"
2959,6900,75,752,3713,73,1000,5,"2023-11-20.20.26.18"
2959,6900,67,701,7776,12,3000,6,"2023-11-20.20.26.18"
2959,6900,23,3234,1917,100,2000,20,"2023-11-20.20.26.18"
2959,6900,23,220,1910,615,4000,65,"2023-11-20.20.26.18"
2959,6900,23,220,1910,615,5000,35,"2023-11-20.20.26.18"
2959,6900,23,220,3545,900,3000,8,"2023-11-20.20.26.18"
2959,6900,23,3232,2129,1,2000,12,"2023-11-20.20.26.18"
2959,6900,65,743,2539,230,1000,5,"2023-11-20.20.26.18"
2959,6900,78,5493,2705,73,3000,8,"2023-11-20.20.26.18"
2959,6900,23,220,38,800,3000,55,"2023-11-20.20.26.18"
2959,6900,23,220,38,800,5000,15,"2023-11-20.20.26.18"
2959,6900,23,220,1927,100,3000,60,"2023-11-20.20.26.18"
2959,6900,23,220,10,300,3000,57,"2023-11-20.20.26.18"
2959,6900,23,220,18,410,4000,10,"2023-11-20.20.26.18"
2959,6900,69,2693,3370,267,2000,11,"2023-11-20.20.26.18"
