Class_Style_Color_Size,AEO_DC_From_LOC,AEO_DC_To_LOC,Allocate_Date,Ship_Date,Arrive_Date,BULK_OH_Class_Style_Color_Size_DC,BULK_OH_Class_Style_Color_Size_Alloc,Class_Style_Color_Size,,QTY,0,0,Alloc,1,N,,DEPLOYMENT,0,Manual Import,0000000000,FloorSet,Current_Time_Stamp
"""798_8039_153_3813""","""AEO_DC_659""","""AEO_ST_6906""","""20231118""","""20231119""","""20231122""","""BULK_OH_798_8039_153_3813_DC659""","""BULK_OH_798_8039_153_3813_DC659_ALC16716""","""798_8039_153_3813""","""""","""5""","""0""","""0""","""16716""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.01.04"""
"""1754_1369_73_5000""","""AEO_DC_659""","""AEO_ST_6906""","""20231118""","""20231119""","""20231122""","""BULK_OH_1754_1369_73_5000_DC659""","""BULK_OH_1754_1369_73_5000_DC659_ALC16716""","""1754_1369_73_5000""","""""","""5""","""0""","""0""","""16716""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.01.04"""
"""1756_1373_331_3000""","""AEO_DC_659""","""AEO_ST_6906""","""20231118""","""20231119""","""20231122""","""BULK_OH_1756_1373_331_3000_DC659""","""BULK_OH_1756_1373_331_3000_DC659_ALC16716""","""1756_1373_331_3000""","""""","""26""","""0""","""0""","""16716""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.01.04"""
"""751_1386_73_1611""","""AEO_DC_659""","""AEO_ST_6906""","""20231118""","""20231119""","""20231122""","""BULK_OH_751_1386_73_1611_DC659""","""BULK_OH_751_1386_73_1611_DC659_ALC16716""","""751_1386_73_1611""","""""","""5""","""0""","""0""","""16716""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.01.05"""
"""431_2262_413_7010""","""AEO_DC_659""","""AEO_ST_6906""","""20231118""","""20231119""","""20231122""","""BULK_OH_431_2262_413_7010_DC659""","""BULK_OH_431_2262_413_7010_DC659_ALC16716""","""431_2262_413_7010""","""""","""6""","""0""","""0""","""16716""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.01.05"""
"""431_2262_413_8018""","""AEO_DC_659""","""AEO_ST_6906""","""20231118""","""20231119""","""20231122""","""BULK_OH_431_2262_413_8018_DC659""","""BULK_OH_431_2262_413_8018_DC659_ALC16716""","""431_2262_413_8018""","""""","""6""","""0""","""0""","""16716""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.01.05"""
"""751_1200_331_1611""","""AEO_DC_659""","""AEO_ST_6906""","""20231118""","""20231119""","""20231122""","""BULK_OH_751_1200_331_1611_DC659""","""BULK_OH_751_1200_331_1611_DC659_ALC16716""","""751_1200_331_1611""","""""","""5""","""0""","""0""","""16716""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.01.06"""
"""752_1883_73_5000""","""AEO_DC_659""","""AEO_ST_6906""","""20231118""","""20231119""","""20231122""","""BULK_OH_752_1883_73_5000_DC659""","""BULK_OH_752_1883_73_5000_DC659_ALC16716""","""752_1883_73_5000""","""""","""6""","""0""","""0""","""16716""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.01.06"""
"""752_1883_331_5000""","""AEO_DC_659""","""AEO_ST_6906""","""20231118""","""20231119""","""20231122""","""BULK_OH_752_1883_331_5000_DC659""","""BULK_OH_752_1883_331_5000_DC659_ALC16716""","""752_1883_331_5000""","""""","""5""","""0""","""0""","""16716""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.01.06"""
"""1754_2012_73_2000""","""AEO_DC_659""","""AEO_ST_6906""","""20231118""","""20231119""","""20231122""","""BULK_OH_1754_2012_73_2000_DC659""","""BULK_OH_1754_2012_73_2000_DC659_ALC16716""","""1754_2012_73_2000""","""""","""40""","""0""","""0""","""16716""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.01.06"""
