Class_Style_Color_Size,AEO_DC_From_LOC,AEO_DC_To_LOC,Allocate_Date,Ship_Date,Arrive_Date,BULK_OH_Class_Style_Color_Size_DC,BULK_OH_Class_Style_Color_Size_Alloc,Class_Style_Color_Size,,QTY,0,0,Alloc,1,N,,DEPLOYMENT,0,Manual Import,0000000000,FloorSet,Current_Time_Stamp
"""9792_3487_73_3413""","""AEO_DC_659""","""AEO_ST_6904""","""20231118""","""20231119""","""20231122""","""BULK_OH_9792_3487_73_3413_DC659""","""BULK_OH_9792_3487_73_3413_DC659_ALC16715""","""9792_3487_73_3413""","""""","""6""","""0""","""0""","""16715""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.11.57.48"""
"""798_8039_153_3812""","""AEO_DC_659""","""AEO_ST_6904""","""20231118""","""20231119""","""20231122""","""BULK_OH_798_8039_153_3812_DC659""","""BULK_OH_798_8039_153_3812_DC659_ALC16715""","""798_8039_153_3812""","""""","""5""","""0""","""0""","""16715""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.11.57.49"""
"""753_1378_73_3000""","""AEO_DC_659""","""AEO_ST_6904""","""20231118""","""20231119""","""20231122""","""BULK_OH_753_1378_73_3000_DC659""","""BULK_OH_753_1378_73_3000_DC659_ALC16715""","""753_1378_73_3000""","""""","""5""","""0""","""0""","""16715""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.11.57.49"""
"""751_1200_73_1611""","""AEO_DC_659""","""AEO_ST_6904""","""20231118""","""20231119""","""20231122""","""BULK_OH_751_1200_73_1611_DC659""","""BULK_OH_751_1200_73_1611_DC659_ALC16715""","""751_1200_73_1611""","""""","""5""","""0""","""0""","""16715""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.11.57.49"""
"""753_1378_331_5000""","""AEO_DC_659""","""AEO_ST_6904""","""20231118""","""20231119""","""20231122""","""BULK_OH_753_1378_331_5000_DC659""","""BULK_OH_753_1378_331_5000_DC659_ALC16715""","""753_1378_331_5000""","""""","""5""","""0""","""0""","""16715""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.11.57.50"""
"""1736_4883_73_3413""","""AEO_DC_659""","""AEO_ST_6904""","""20231118""","""20231119""","""20231122""","""BULK_OH_1736_4883_73_3413_DC659""","""BULK_OH_1736_4883_73_3413_DC659_ALC16715""","""1736_4883_73_3413""","""""","""6""","""0""","""0""","""16715""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.11.57.50"""
"""751_1200_331_1622""","""AEO_DC_659""","""AEO_ST_6904""","""20231118""","""20231119""","""20231122""","""BULK_OH_751_1200_331_1622_DC659""","""BULK_OH_751_1200_331_1622_DC659_ALC16715""","""751_1200_331_1622""","""""","""5""","""0""","""0""","""16715""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.11.57.50"""
"""752_1883_683_6000""","""AEO_DC_659""","""AEO_ST_6904""","""20231118""","""20231119""","""20231122""","""BULK_OH_752_1883_683_6000_DC659""","""BULK_OH_752_1883_683_6000_DC659_ALC16715""","""752_1883_683_6000""","""""","""5""","""0""","""0""","""16715""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.11.57.51"""
"""753_1378_683_6000""","""AEO_DC_659""","""AEO_ST_6904""","""20231118""","""20231119""","""20231122""","""BULK_OH_753_1378_683_6000_DC659""","""BULK_OH_753_1378_683_6000_DC659_ALC16715""","""753_1378_683_6000""","""""","""5""","""0""","""0""","""16715""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.11.57.51"""
"""1754_2012_73_2000""","""AEO_DC_659""","""AEO_ST_6904""","""20231118""","""20231119""","""20231122""","""BULK_OH_1754_2012_73_2000_DC659""","""BULK_OH_1754_2012_73_2000_DC659_ALC16715""","""1754_2012_73_2000""","""""","""73""","""0""","""0""","""16715""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.11.57.51"""
"""1754_2012_73_3000""","""AEO_DC_659""","""AEO_ST_6904""","""20231118""","""20231119""","""20231122""","""BULK_OH_1754_2012_73_3000_DC659""","""BULK_OH_1754_2012_73_3000_DC659_ALC16715""","""1754_2012_73_3000""","""""","""97""","""0""","""0""","""16715""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.11.57.52"""
