Class_Style_Color_Size,AEO_DC_From_LOC,AEO_DC_To_LOC,Allocate_Date,Ship_Date,Arrive_Date,BULK_OH_Class_Style_Color_Size_DC,BULK_OH_Class_Style_Color_Size_Alloc,Class_Style_Color_Size,,QTY,0,0,Alloc,1,N,,DEPLOYMENT,0,Manual Import,0000000000,FloorSet,Current_Time_Stamp
"""4433_2718_167_9006""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_4433_2718_167_9006_DC2959""","""BULK_OH_4433_2718_167_9006_DC2959_ALC16717""","""4433_2718_167_9006""","""""","""5""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.05"""
"""4433_2718_167_9008""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_4433_2718_167_9008_DC2959""","""BULK_OH_4433_2718_167_9008_DC2959_ALC16717""","""4433_2718_167_9008""","""""","""5""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.06"""
"""2693_8201_153_2000""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_2693_8201_153_2000_DC2959""","""BULK_OH_2693_8201_153_2000_DC2959_ALC16717""","""2693_8201_153_2000""","""""","""91""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.06"""
"""118_5362_915_2628""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_118_5362_915_2628_DC2959""","""BULK_OH_118_5362_915_2628_DC2959_ALC16717""","""118_5362_915_2628""","""""","""5""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.06"""
"""118_5312_896_2930""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_118_5312_896_2930_DC2959""","""BULK_OH_118_5312_896_2930_DC2959_ALC16717""","""118_5312_896_2930""","""""","""32""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.07"""
"""2546_6228_1_16""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_2546_6228_1_16_DC2959""","""BULK_OH_2546_6228_1_16_DC2959_ALC16717""","""2546_6228_1_16""","""""","""8""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.07"""
"""2546_6229_256_12""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_2546_6229_256_12_DC2959""","""BULK_OH_2546_6229_256_12_DC2959_ALC16717""","""2546_6229_256_12""","""""","""5""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.07"""
"""2546_6229_256_16""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_2546_6229_256_16_DC2959""","""BULK_OH_2546_6229_256_16_DC2959_ALC16717""","""2546_6229_256_16""","""""","""6""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.07"""
"""2546_6229_256_201""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_2546_6229_256_201_DC2959""","""BULK_OH_2546_6229_256_201_DC2959_ALC16717""","""2546_6229_256_201""","""""","""6""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.08"""
"""118_5312_896_3636""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_118_5312_896_3636_DC2959""","""BULK_OH_118_5312_896_3636_DC2959_ALC16717""","""118_5312_896_3636""","""""","""7""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.08"""
"""118_5312_896_4030""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_118_5312_896_4030_DC2959""","""BULK_OH_118_5312_896_4030_DC2959_ALC16717""","""118_5312_896_4030""","""""","""9""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.08"""
"""118_5312_896_4032""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_118_5312_896_4032_DC2959""","""BULK_OH_118_5312_896_4032_DC2959_ALC16717""","""118_5312_896_4032""","""""","""12""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.09"""
"""118_5312_896_4232""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_118_5312_896_4232_DC2959""","""BULK_OH_118_5312_896_4232_DC2959_ALC16717""","""118_5312_896_4232""","""""","""10""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.09"""
"""117_5345_896_4032""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_117_5345_896_4032_DC2959""","""BULK_OH_117_5345_896_4032_DC2959_ALC16717""","""117_5345_896_4032""","""""","""5""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.09"""
"""751_2640_73_1615""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_751_2640_73_1615_DC2959""","""BULK_OH_751_2640_73_1615_DC2959_ALC16717""","""751_2640_73_1615""","""""","""5""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.10"""
"""752_2639_73_5000""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_752_2639_73_5000_DC2959""","""BULK_OH_752_2639_73_5000_DC2959_ALC16717""","""752_2639_73_5000""","""""","""5""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.10"""
