"9792_3487_153_3414","AEO_DC_002959","AEO_ST_6900","20231118","20231119","20231122","BULK_OH_9792_3487_153_3414_DC002959","BULK_OH_9792_3487_153_3414_DC002959_ALC16730","9792_3487_153_3414","","6","0","0","16730","1","N","","DEPLOYMENT","0","Manual Import","0000000000"," ","2023-11-18.15.11.40"
"753_1145_73_3000","AEO_DC_002959","AEO_ST_6900","20231118","20231119","20231122","BULK_OH_753_1145_73_3000_DC002959","BULK_OH_753_1145_73_3000_DC002959_ALC16730","753_1145_73_3000","","14","0","0","16730","1","N","","DEPLOYMENT","0","Manual Import","0000000000"," ","2023-11-18.15.11.40"
"1754_1304_331_6000","AEO_DC_002959","AEO_ST_6900","20231118","20231119","20231122","BULK_OH_1754_1304_331_6000_DC002959","BULK_OH_1754_1304_331_6000_DC002959_ALC16730","1754_1304_331_6000","","5","0","0","16730","1","N","","DEPLOYMENT","0","Manual Import","0000000000"," ","2023-11-18.15.11.41"
"753_1382_73_1000","AEO_DC_002959","AEO_ST_6900","20231118","20231119","20231122","BULK_OH_753_1382_73_1000_DC002959","BULK_OH_753_1382_73_1000_DC002959_ALC16730","753_1382_73_1000","","5","0","0","16730","1","N","","DEPLOYMENT","0","Manual Import","0000000000"," ","2023-11-18.15.11.41"
"1753_1371_73_5000","AEO_DC_002959","AEO_ST_6900","20231118","20231119","20231122","BULK_OH_1753_1371_73_5000_DC002959","BULK_OH_1753_1371_73_5000_DC002959_ALC16730","1753_1371_73_5000","","5","0","0","16730","1","N","","DEPLOYMENT","0","Manual Import","0000000000"," ","2023-11-18.15.11.42"
"1753_1372_615_4000","AEO_DC_002959","AEO_ST_6900","20231118","20231119","20231122","BULK_OH_1753_1372_615_4000_DC002959","BULK_OH_1753_1372_615_4000_DC002959_ALC16730","1753_1372_615_4000","","5","0","0","16730","1","N","","DEPLOYMENT","0","Manual Import","0000000000"," ","2023-11-18.15.11.42"
"753_1769_331_5000","AEO_DC_002959","AEO_ST_6900","20231118","20231119","20231122","BULK_OH_753_1769_331_5000_DC002959","BULK_OH_753_1769_331_5000_DC002959_ALC16730","753_1769_331_5000","","5","0","0","16730","1","N","","DEPLOYMENT","0","Manual Import","0000000000"," ","2023-11-18.15.11.42"
"753_1378_683_6000","AEO_DC_002959","AEO_ST_6900","20231118","20231119","20231122","BULK_OH_753_1378_683_6000_DC002959","BULK_OH_753_1378_683_6000_DC002959_ALC16730","753_1378_683_6000","","5","0","0","16730","1","N","","DEPLOYMENT","0","Manual Import","0000000000"," ","2023-11-18.15.11.43"
"753_1382_683_5000","AEO_DC_002959","AEO_ST_6900","20231118","20231119","20231122","BULK_OH_753_1382_683_5000_DC002959","BULK_OH_753_1382_683_5000_DC002959_ALC16730","753_1382_683_5000","","5","0","0","16730","1","N","","DEPLOYMENT","0","Manual Import","0000000000"," ","2023-11-18.15.11.43"
"1754_2012_73_2000","AEO_DC_002959","AEO_ST_6900","20231118","20231119","20231122","BULK_OH_1754_2012_73_2000_DC002959","BULK_OH_1754_2012_73_2000_DC002959_ALC16730","1754_2012_73_2000","","41","0","0","16730","1","N","","DEPLOYMENT","0","Manual Import","0000000000"," ","2023-11-18.15.11.43"
"1753_2130_73_4000","AEO_DC_002959","AEO_ST_6900","20231118","20231119","20231122","BULK_OH_1753_2130_73_4000_DC002959","BULK_OH_1753_2130_73_4000_DC002959_ALC16730","1753_2130_73_4000","","5","0","0","16730","1","N","","DEPLOYMENT","0","Manual Import","0000000000"," ","2023-11-18.15.11.44"
