Class_Style_Color_Size,AEO_DC_From_LOC,AEO_DC_To_LOC,Allocate_Date,Ship_Date,Arrive_Date,BULK_OH_Class_Style_Color_Size_DC,BULK_OH_Class_Style_Color_Size_Alloc,Class_Style_Color_Size,,QTY,0,0,Alloc,1,N,,DEPLOYMENT,0,Manual Import,0000000000,FloorSet,Current_Time_Stamp
"""9792_3487_153_3414""","""AEO_DC_2959""","""AEO_ST_6900""","""20231118""","""20231119""","""20231122""","""BULK_OH_9792_3487_153_3414_DC2959""","""BULK_OH_9792_3487_153_3414_DC2959_ALC16714""","""9792_3487_153_3414""","""""","""6""","""0""","""0""","""16714""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.11.55.08"""
"""753_1145_73_3000""","""AEO_DC_2959""","""AEO_ST_6900""","""20231118""","""20231119""","""20231122""","""BULK_OH_753_1145_73_3000_DC2959""","""BULK_OH_753_1145_73_3000_DC2959_ALC16714""","""753_1145_73_3000""","""""","""14""","""0""","""0""","""16714""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.11.55.08"""
"""1754_1304_331_6000""","""AEO_DC_2959""","""AEO_ST_6900""","""20231118""","""20231119""","""20231122""","""BULK_OH_1754_1304_331_6000_DC2959""","""BULK_OH_1754_1304_331_6000_DC2959_ALC16714""","""1754_1304_331_6000""","""""","""5""","""0""","""0""","""16714""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.11.55.08"""
"""753_1382_73_1000""","""AEO_DC_2959""","""AEO_ST_6900""","""20231118""","""20231119""","""20231122""","""BULK_OH_753_1382_73_1000_DC2959""","""BULK_OH_753_1382_73_1000_DC2959_ALC16714""","""753_1382_73_1000""","""""","""5""","""0""","""0""","""16714""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.11.55.09"""
"""1753_1371_73_5000""","""AEO_DC_2959""","""AEO_ST_6900""","""20231118""","""20231119""","""20231122""","""BULK_OH_1753_1371_73_5000_DC2959""","""BULK_OH_1753_1371_73_5000_DC2959_ALC16714""","""1753_1371_73_5000""","""""","""5""","""0""","""0""","""16714""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.11.55.09"""
"""1753_1372_615_4000""","""AEO_DC_2959""","""AEO_ST_6900""","""20231118""","""20231119""","""20231122""","""BULK_OH_1753_1372_615_4000_DC2959""","""BULK_OH_1753_1372_615_4000_DC2959_ALC16714""","""1753_1372_615_4000""","""""","""5""","""0""","""0""","""16714""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.11.55.09"""
"""753_1769_331_5000""","""AEO_DC_2959""","""AEO_ST_6900""","""20231118""","""20231119""","""20231122""","""BULK_OH_753_1769_331_5000_DC2959""","""BULK_OH_753_1769_331_5000_DC2959_ALC16714""","""753_1769_331_5000""","""""","""5""","""0""","""0""","""16714""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.11.55.10"""
"""753_1378_683_6000""","""AEO_DC_2959""","""AEO_ST_6900""","""20231118""","""20231119""","""20231122""","""BULK_OH_753_1378_683_6000_DC2959""","""BULK_OH_753_1378_683_6000_DC2959_ALC16714""","""753_1378_683_6000""","""""","""5""","""0""","""0""","""16714""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.11.55.10"""
"""753_1382_683_5000""","""AEO_DC_2959""","""AEO_ST_6900""","""20231118""","""20231119""","""20231122""","""BULK_OH_753_1382_683_5000_DC2959""","""BULK_OH_753_1382_683_5000_DC2959_ALC16714""","""753_1382_683_5000""","""""","""5""","""0""","""0""","""16714""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.11.55.10"""
"""1754_2012_73_2000""","""AEO_DC_2959""","""AEO_ST_6900""","""20231118""","""20231119""","""20231122""","""BULK_OH_1754_2012_73_2000_DC2959""","""BULK_OH_1754_2012_73_2000_DC2959_ALC16714""","""1754_2012_73_2000""","""""","""41""","""0""","""0""","""16714""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.11.55.10"""
"""1753_2130_73_4000""","""AEO_DC_2959""","""AEO_ST_6900""","""20231118""","""20231119""","""20231122""","""BULK_OH_1753_2130_73_4000_DC2959""","""BULK_OH_1753_2130_73_4000_DC2959_ALC16714""","""1753_2130_73_4000""","""""","""5""","""0""","""0""","""16714""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.11.55.11"""
"""1753_1371_683_1000""","""AEO_DC_2959""","""AEO_ST_6900""","""20231118""","""20231119""","""20231122""","""BULK_OH_1753_1371_683_1000_DC2959""","""BULK_OH_1753_1371_683_1000_DC2959_ALC16714""","""1753_1371_683_1000""","""""","""5""","""0""","""0""","""16714""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.11.55.11"""
