Class_Style_Color_Size,AEO_DC_From_LOC,AEO_DC_To_LOC,Allocate_Date,Ship_Date,Arrive_Date,BULK_OH_Class_Style_Color_Size_DC,BULK_OH_Class_Style_Color_Size_Alloc,Class_Style_Color_Size,,QTY,0,0,Alloc,1,N,,DEPLOYMENT,0,Manual Import,0000000000,FloorSet,Current_Time_Stamp
"""327_2584_273_7004""","""AEO_DC_659""","""AEO_ST_6922""","""20231118""","""20231119""","""20231122""","""BULK_OH_327_2584_273_7004_DC659""","""BULK_OH_327_2584_273_7004_DC659_ALC16718""","""327_2584_273_7004""","""""","""5""","""0""","""0""","""16718""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.07.39"""
"""327_2584_273_7006""","""AEO_DC_659""","""AEO_ST_6922""","""20231118""","""20231119""","""20231122""","""BULK_OH_327_2584_273_7006_DC659""","""BULK_OH_327_2584_273_7006_DC659_ALC16718""","""327_2584_273_7006""","""""","""6""","""0""","""0""","""16718""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.07.39"""
"""327_2584_273_7008""","""AEO_DC_659""","""AEO_ST_6922""","""20231118""","""20231119""","""20231122""","""BULK_OH_327_2584_273_7008_DC659""","""BULK_OH_327_2584_273_7008_DC659_ALC16718""","""327_2584_273_7008""","""""","""5""","""0""","""0""","""16718""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.07.39"""
"""327_2584_273_9101""","""AEO_DC_659""","""AEO_ST_6922""","""20231118""","""20231119""","""20231122""","""BULK_OH_327_2584_273_9101_DC659""","""BULK_OH_327_2584_273_9101_DC659_ALC16718""","""327_2584_273_9101""","""""","""5""","""0""","""0""","""16718""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.07.40"""
"""752_1383_73_1000""","""AEO_DC_659""","""AEO_ST_6922""","""20231118""","""20231119""","""20231122""","""BULK_OH_752_1383_73_1000_DC659""","""BULK_OH_752_1383_73_1000_DC659_ALC16718""","""752_1383_73_1000""","""""","""5""","""0""","""0""","""16718""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.07.40"""
"""751_1200_73_1611""","""AEO_DC_659""","""AEO_ST_6922""","""20231118""","""20231119""","""20231122""","""BULK_OH_751_1200_73_1611_DC659""","""BULK_OH_751_1200_73_1611_DC659_ALC16718""","""751_1200_73_1611""","""""","""5""","""0""","""0""","""16718""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.07.40"""
"""751_1200_73_1614""","""AEO_DC_659""","""AEO_ST_6922""","""20231118""","""20231119""","""20231122""","""BULK_OH_751_1200_73_1614_DC659""","""BULK_OH_751_1200_73_1614_DC659_ALC16718""","""751_1200_73_1614""","""""","""11""","""0""","""0""","""16718""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.07.40"""
"""751_1200_73_1616""","""AEO_DC_659""","""AEO_ST_6922""","""20231118""","""20231119""","""20231122""","""BULK_OH_751_1200_73_1616_DC659""","""BULK_OH_751_1200_73_1616_DC659_ALC16718""","""751_1200_73_1616""","""""","""5""","""0""","""0""","""16718""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.07.41"""
"""753_1382_73_1000""","""AEO_DC_659""","""AEO_ST_6922""","""20231118""","""20231119""","""20231122""","""BULK_OH_753_1382_73_1000_DC659""","""BULK_OH_753_1382_73_1000_DC659_ALC16718""","""753_1382_73_1000""","""""","""5""","""0""","""0""","""16718""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.07.41"""
"""1753_1371_331_4000""","""AEO_DC_659""","""AEO_ST_6922""","""20231118""","""20231119""","""20231122""","""BULK_OH_1753_1371_331_4000_DC659""","""BULK_OH_1753_1371_331_4000_DC659_ALC16718""","""1753_1371_331_4000""","""""","""5""","""0""","""0""","""16718""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.07.41"""
"""1328_3801_223_8010""","""AEO_DC_659""","""AEO_ST_6922""","""20231118""","""20231119""","""20231122""","""BULK_OH_1328_3801_223_8010_DC659""","""BULK_OH_1328_3801_223_8010_DC659_ALC16718""","""1328_3801_223_8010""","""""","""5""","""0""","""0""","""16718""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.07.42"""
